,year,region,num_traffic_accidents,latitude_accidents,longitude_accidents,num_accidents_result,accidents_result,driving_licenses,latitude_driving_licenes,longitude_driving_licenes
0,2016,Makkah,12383,21.628962766,41.2636898334,No. of Casualties,Injured,136055,21.628962766,41.2636898334
1,2016,Makkah,134838,21.628962766,41.2636898334,No. of Accidents,not_Effict,136055,21.628962766,41.2636898334
2,2016,Makkah,2243,21.628962766,41.2636898334,No. of Casualties,Dead,136055,21.628962766,41.2636898334
3,2016,Tabouk,434,27.90165499,37.2598581394,No. of Casualties,Dead,13610,27.90165499,37.2598581394
4,2016,Tabouk,16031,27.90165499,37.2598581394,No. of Accidents,not_Effict,13610,27.90165499,37.2598581394
5,2016,Tabouk,1724,27.90165499,37.2598581394,No. of Casualties,Injured,13610,27.90165499,37.2598581394
6,2016,Hail,299,27.400845724,41.4406960508,No. of Casualties,Dead,54507,27.400845724,41.4406960508
7,2016,Hail,10199,27.400845724,41.4406960508,No. of Accidents,not_Effict,54507,27.400845724,41.4406960508
8,2016,Hail,932,27.400845724,41.4406960508,No. of Casualties,Injured,54507,27.400845724,41.4406960508
9,2016,Northern Boarder,193,30.197074783,41.8171186952,No. of Casualties,Dead,4958,30.197074783,41.8171186952
10,2016,Northern Boarder,631,30.197074783,41.8171186952,No. of Casualties,Injured,4958,30.197074783,41.8171186952
11,2016,Northern Boarder,13196,30.197074783,41.8171186952,No. of Accidents,not_Effict,4958,30.197074783,41.8171186952
12,2017,Jazan,22161,17.2072313962,42.6525807422,No. of Accidents,not_Effict,18345,17.2072313962,42.6525807422
13,2017,Jazan,466,17.2072313962,42.6525807422,No. of Casualties,Dead,18345,17.2072313962,42.6525807422
14,2017,Jazan,2207,17.2072313962,42.6525807422,No. of Casualties,Injured,18345,17.2072313962,42.6525807422
15,2017,Al-Jouf,10469,29.9677445762,39.5570371172,No. of Accidents,not_Effict,8091,29.9677445762,39.5570371172
16,2017,Al-Jouf,862,29.9677445762,39.5570371172,No. of Casualties,Injured,8091,29.9677445762,39.5570371172
17,2017,Al-Jouf,240,29.9677445762,39.5570371172,No. of Casualties,Dead,8091,29.9677445762,39.5570371172
18,2016,Jazan,514,17.2072313962,42.6525807422,No. of Casualties,Dead,11504,17.2072313962,42.6525807422
19,2016,Jazan,2259,17.2072313962,42.6525807422,No. of Casualties,Injured,11504,17.2072313962,42.6525807422
20,2016,Jazan,25873,17.2072313962,42.6525807422,No. of Accidents,not_Effict,11504,17.2072313962,42.6525807422
21,2016,Al-Jouf,920,29.9677445762,39.5570371172,No. of Casualties,Injured,9371,29.9677445762,39.5570371172
22,2016,Al-Jouf,10212,29.9677445762,39.5570371172,No. of Accidents,not_Effict,9371,29.9677445762,39.5570371172
23,2016,Al-Jouf,245,29.9677445762,39.5570371172,No. of Casualties,Dead,9371,29.9677445762,39.5570371172
24,2017,Riyadh,99925,23.0814341634,45.5857512766,No. of Accidents,not_Effict,495307,23.0814341634,45.5857512766
25,2017,Riyadh,4540,23.0814341634,45.5857512766,No. of Casualties,Injured,495307,23.0814341634,45.5857512766
26,2017,Riyadh,1399,23.0814341634,45.5857512766,No. of Casualties,Dead,495307,23.0814341634,45.5857512766
27,2017,Madinah,580,24.927534539,39.4918237173,No. of Casualties,Dead,36165,24.927534539,39.4918237173
28,2017,Madinah,2917,24.927534539,39.4918237173,No. of Casualties,Injured,36165,24.927534539,39.4918237173
29,2017,Madinah,16070,24.927534539,39.4918237173,No. of Accidents,not_Effict,36165,24.927534539,39.4918237173
30,2017,Tabouk,11713,27.90165499,37.2598581394,No. of Accidents,not_Effict,10232,27.90165499,37.2598581394
31,2017,Tabouk,1243,27.90165499,37.2598581394,No. of Casualties,Injured,10232,27.90165499,37.2598581394
32,2017,Tabouk,348,27.90165499,37.2598581394,No. of Casualties,Dead,10232,27.90165499,37.2598581394
33,2017,Northern Boarder,11540,30.197074783,41.8171186952,No. of Accidents,not_Effict,5280,30.197074783,41.8171186952
34,2017,Northern Boarder,112,30.197074783,41.8171186952,No. of Casualties,Dead,5280,30.197074783,41.8171186952
35,2017,Northern Boarder,374,30.197074783,41.8171186952,No. of Casualties,Injured,5280,30.197074783,41.8171186952
36,2017,Najran,194,18.4511003068,46.8688495726,No. of Casualties,Dead,13825,18.4511003068,46.8688495726
37,2017,Najran,3193,18.4511003068,46.8688495726,No. of Accidents,not_Effict,13825,18.4511003068,46.8688495726
38,2017,Najran,766,18.4511003068,46.8688495726,No. of Casualties,Injured,13825,18.4511003068,46.8688495726
39,2016,Madinah,822,24.927534539,39.4918237173,No. of Casualties,Dead,24540,24.927534539,39.4918237173
40,2016,Madinah,14475,24.927534539,39.4918237173,No. of Accidents,not_Effict,24540,24.927534539,39.4918237173
41,2016,Madinah,4184,24.927534539,39.4918237173,No. of Casualties,Injured,24540,24.927534539,39.4918237173
42,2016,Riyadh,1430,23.0814341634,45.5857512766,No. of Casualties,Dead,242851,23.0814341634,45.5857512766
43,2016,Riyadh,141736,23.0814341634,45.5857512766,No. of Accidents,not_Effict,242851,23.0814341634,45.5857512766
44,2016,Riyadh,4207,23.0814341634,45.5857512766,No. of Casualties,Injured,242851,23.0814341634,45.5857512766
45,2017,Makkah,10623,21.628962766,41.2636898334,No. of Casualties,Injured,142487,21.628962766,41.2636898334
46,2017,Makkah,1641,21.628962766,41.2636898334,No. of Casualties,Dead,142487,21.628962766,41.2636898334
47,2017,Makkah,145541,21.628962766,41.2636898334,No. of Accidents,not_Effict,142487,21.628962766,41.2636898334
48,2017,Hail,265,27.400845724,41.4406960508,No. of Casualties,Dead,22035,27.400845724,41.4406960508
49,2017,Hail,9379,27.400845724,41.4406960508,No. of Accidents,not_Effict,22035,27.400845724,41.4406960508
50,2017,Hail,773,27.400845724,41.4406960508,No. of Casualties,Injured,22035,27.400845724,41.4406960508
51,2016,Najran,3235,18.4511003068,46.8688495726,No. of Accidents,not_Effict,2153,18.4511003068,46.8688495726
52,2016,Najran,173,18.4511003068,46.8688495726,No. of Casualties,Dead,2153,18.4511003068,46.8688495726
53,2016,Najran,706,18.4511003068,46.8688495726,No. of Casualties,Injured,2153,18.4511003068,46.8688495726
